id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
14233670,Luxury 1 Bedroom Condo in Central Park South,86538929,Stella,Manhattan,Midtown,40.76568,-73.97939,Entire home/apt,349,30,6,2017-01-01,0.07,1,0,0,
39449410,Spacious & Sunny West Village Home!,3210260,Michael,Manhattan,Greenwich Village,40.7301,-73.99899,Entire home/apt,339,30,14,2020-03-09,0.34,1,0,0,
7277600,Upper east haven,24772574,Jack,Manhattan,Upper East Side,40.76463,-73.9552,Entire home/apt,175,30,0,,,1,0,0,
728481699229802607,Shared High end Lux shared apartment in Wall st,466380076,Anny,Manhattan,Financial District,40.71062,-74.00849,Shared room,370,1,1,2022-11-17,0.27,3,365,1,
4687730,"PRICE REDUCED! Clean, safe, & roomy",529546,Aditi,Manhattan,Hell's Kitchen,40.76858,-73.98704,Private room,145,30,0,,,2,0,0,
17943407,"Classic East Village studio, best NYC neighborhood",3463177,Emch,Manhattan,East Village,40.73135,-73.98486,Entire home/apt,120,30,31,2022-12-18,0.44,1,51,3,
685546594634098248,Lovely 1-bedroom/studio apartment in East Harlem,49673620,Vanessa,Manhattan,East Harlem,40.79576,-73.93313,Entire home/apt,143,30,0,,,1,135,0,
587685396835692238,"Lovely 1 Bed apt with Patio
No party .",72574297,Thais Navarro Leite,Manhattan,Gramercy,40.73663,-73.98579,Entire home/apt,204,2,24,2023-02-02,2.23,1,16,24,
8951480,Unique townhouse apartment,46787065,C,Manhattan,Upper West Side,40.80284,-73.96797,Entire home/apt,95,30,2,2016-08-16,0.02,1,0,0,
694024141571245527,Luxury apartment with stunning Empire State views,25965792,Dinah,Manhattan,Hell's Kitchen,40.75885,-73.99495,Entire home/apt,379,30,4,2023-01-04,1.2,1,211,4,
3533741,Private Room in Famed Artistic Flat,17791294,Taylor,Manhattan,Hell's Kitchen,40.76878,-73.98719,Private room,110,30,0,,,1,0,0,
20978416,Big 1 Bedrm Apt with Washer/ Drier/ Balcony,7182337,Petko,Manhattan,East Village,40.73025,-73.9882,Entire home/apt,213,30,59,2022-01-31,0.9,1,26,0,
4753571,Your own West Village/ Soho home,24529969,Ellie,Manhattan,SoHo,40.72782,-74.00357,Entire home/apt,200,30,10,2017-03-31,0.11,1,0,0,
809384045966385871,3 Bedroom East Village,467880741,Janine,Manhattan,Stuyvesant Town,40.73144259218834,-73.98151605365629,Entire home/apt,5000,30,0,,,1,80,0,
53214276,Quintessential Chelsea Oasis -Skylight & Fireplace,407939379,Alex,Manhattan,Chelsea,40.74259,-74.00088,Entire home/apt,425,2,21,2022-11-22,1.35,3,87,15,
40253255,Gorgeous 1 Bed - Heart of Greenwich village #6101,132777237,Hannah,Manhattan,West Village,40.73511,-74.00005,Entire home/apt,200,30,5,2022-10-31,0.14,7,279,1,
992508,"Steps from Subway & Central Park,DC trip included",4714927,Elisa,Manhattan,East Harlem,40.79161,-73.95006,Private room,50,14,74,2023-01-27,0.63,5,8,4,
42472907,Charming one bedroom home in the Upper West Side!,28787513,Nin,Manhattan,Upper West Side,40.79615,-73.97578,Entire home/apt,139,31,0,,,1,0,0,
764379319101122791,Cozy new Apartment near Metro,431971547,Baijing,Manhattan,Morningside Heights,40.81498,-73.95953,Entire home/apt,147,1,6,2023-01-21,2.17,1,2,6,
53583520,Lovely 1 Bedroom with Style,61391963,Stay With Vibe,Manhattan,Kips Bay,40.74026,-73.97845,Entire home/apt,133,30,4,2023-01-30,0.28,124,348,3,
53311378,Cozy small private room in prime NYC area,10236340,Tina,Manhattan,Midtown,40.75681,-73.96729,Private room,65,20,3,2022-10-01,0.36,2,365,3,
54168613,Midtown Manhattan- Luxury 1 bedroom,402968576,Alyson,Manhattan,Midtown,40.75226,-73.97346,Private room,400,2,0,,,3,363,0,
11841988,Upper West Side Dream Apartment,37809789,Zabrina,Manhattan,Upper West Side,40.77764,-73.98214,Entire home/apt,200,30,0,,,1,0,0,
32922087,Private Bedroom in Manhattan,53725579,William,Manhattan,Washington Heights,40.84323,-73.93887,Private room,57,1,135,2023-02-17,2.79,6,10,4,
53603216,Quad room with attached bathroom-501,171697479,Aamer,Manhattan,Midtown,40.74541,-73.98149,Private room,115,30,1,2022-09-27,0.19,28,305,1,
53672127,Perfect Lovely Studio With Private Bath / WiFi #82,343381111,Alberto,Manhattan,Midtown,40.74595,-73.9867,Entire home/apt,108,1,13,2023-02-12,1.74,3,257,13,
6865662,"Loft style, spacious, warm East Village sanctuary",29480685,Anna,Manhattan,Lower East Side,40.72099,-73.98268,Entire home/apt,179,3,48,2023-01-04,0.51,1,144,7,
794225336036117914,13-1 I Brand New Luxury 2BR Prime Union Square,162280872,Urban Furnished,Manhattan,Greenwich Village,40.73397811491998,-73.99204857574357,Entire home/apt,258,30,0,,,159,201,0,
19163623,Cozy Lodge Chic in the heart of New York.,115256,Nicholas,Manhattan,Upper East Side,40.76806,-73.95713,Entire home/apt,118,30,43,2019-02-11,0.62,1,0,0,
654268892732713151,Midtown 45 Hotel Room,457152913,Todd,Manhattan,Midtown,40.75386,-73.97271,Entire home/apt,275,2,0,,,9,69,0,
44261202,Gorgeous W. Village 1BR w/ New Appliances,107434423,Blueground,Manhattan,West Village,40.7346709,-74.00350209999999,Entire home/apt,294,31,0,,,526,185,0,
46788551,Midtown Manhattan's Best Studio,120762452,Stanley,Manhattan,Murray Hill,40.74902,-73.97755,Entire home/apt,100,30,1,2023-01-26,0.75,83,365,1,
833942796744527997,Relax and Recharge! Near Madison Square Park,496944100,RoomPicks,Manhattan,Flatiron District,40.74329231561589,-73.99033164633725,Private room,344,2,0,,,356,0,0,
42996551,Spacious Midtown 2BR | Desk | Washer/Dryer | GLS,30283594,Global Luxury Suites,Manhattan,Hell's Kitchen,40.76153,-73.99878,Entire home/apt,669,30,1,2020-11-15,0.04,51,344,0,
52618078,Shered bathroom 3 SofaBed + loftbed + kitchen,408979935,Koichi,Manhattan,Chelsea,40.75099,-73.998,Private room,90,3,67,2023-03-01,3.93,22,67,51,
15825854,"Beautiful & centrally located, big 1 bedroom apt.",13454974,Michele,Manhattan,Kips Bay,40.74545,-73.97877,Entire home/apt,178,5,23,2023-02-18,0.36,1,139,8,
6716444,Large and Quiet Private Bedroom,24466159,Tim,Manhattan,East Village,40.72762,-73.98601,Private room,100,30,2,2015-06-26,0.02,1,0,0,
702189125829955809,Stay on Central Park: 3 Bed Modern Condo,469148931,Jay,Manhattan,Upper West Side,40.79910011741556,-73.96025363488768,Entire home/apt,498,5,15,2023-01-18,2.51,1,7,15,
1466552,ALL YOU NEED!! HK/TIME SQ./THEATER (READ REVIEWS),7112116,Ty,Manhattan,Hell's Kitchen,40.76227,-73.98686,Private room,179,2,59,2022-12-18,0.51,1,350,19,
14519882,Midtown in NYC for International Business Interns,70060476,Nathalia,Manhattan,Hell's Kitchen,40.76216,-73.99293,Entire home/apt,114,200,32,2019-12-20,0.41,3,34,0,
20498261,2300sqft (215m) lofty penthouse heart East Village,3288449,Luca,Manhattan,East Village,40.7302,-73.98089,Private room,530,30,7,2018-01-02,0.1,1,0,0,
836425178791735121,Luxury Apartment for Interns,6880288,Thomas,Manhattan,Upper West Side,40.7728707,-73.99268839999999,Entire home/apt,336,70,0,,,6,91,0,
38599141,Beautiful Sofa Bed Available in Luxury Condo,272305353,Sapna,Manhattan,Financial District,40.70516,-74.01281,Shared room,80,30,1,2019-09-24,0.02,3,0,0,
743758090910373803,Full Floor Artist Penthouse in Midtown Manhattan,449377263,Deirdre,Manhattan,Midtown,40.75432,-73.99051,Entire home/apt,688,5,4,2023-02-21,1.18,6,53,4,
